date,EMA Alignment,ROE,PE,Y
31/3/2020,0,37.76049,18.55443,0.031193139
30/4/2020,1,37.76049,19.1332,0.01739357
29/5/2020,0,37.76049,19.46599,-0.041997029
30/6/2020,0,37.9145,17.95026,0.037630962
31/7/2020,1,37.9145,18.62575,0.062686926
31/8/2020,1,37.9145,19.79334,-0.027207717
30/9/2020,0,41.12166,17.47027,-0.093309177
30/10/2020,0,41.12166,15.84013,0.068873822
30/11/2020,0,41.12166,16.9311,0.01753949
31/12/2020,1,27.59644,28.06907,-0.057824044
29/1/2021,0,27.59644,26.44601,-0.057739633
26/2/2021,0,27.59644,24.91902,0.06155319
31/3/2021,0,26.44591,26.57529,-0.033597099
30/4/2021,0,26.44591,25.68243,0.018657722
28/5/2021,0,26.44591,26.16161,0.074720358
30/6/2021,1,17.19509,35.50169,-0.011572586
30/7/2021,1,17.19509,35.09084,-0.007545206
31/8/2021,1,17.19509,34.82608,-0.015467296
30/9/2021,0,21.12958,26.51627,0.172280655
29/10/2021,1,21.12958,31.08452,-0.14923339
30/11/2021,0,21.12958,26.44567,0.02309438
31/12/2021,0,40.24819,14.90268,0.063152401
31/1/2022,1,40.24819,15.84382,-0.060137457
28/2/2022,0,40.24819,14.89101,0.071428571
31/3/2022,1,41.01551,14.67983,0.080926264
29/4/2022,1,41.01551,15.86782,0.037659263
31/5/2022,1,41.01551,16.46539,-0.009344779
30/6/2022,1,43.48485,13.95381,-0.020072392
29/7/2022,0,43.48485,13.67372,-0.044548914
31/8/2022,0,43.48485,13.06457,0.008903468
29/9/2022,0,38.18472,14.32802,0.175104505
31/10/2022,1,38.18472,16.83692,0.088142292
30/11/2022,1,38.18472,18.32097,0.007537232
30/12/2022,1,34.49718,19.42334,-0.031906264
31/1/2023,0,34.49718,18.80361,-0.010892841
28/2/2023,1,34.49718,18.59879,0.001411898
31/3/2023,0,29.70918,20.77767,0.085346367
28/4/2023,1,29.70918,22.55097,-0.043820906
31/5/2023,0,29.70918,21.56277,0.04510461
30/6/2023,0,7.593732,95.01812,-0.075743132
31/7/2023,0,7.593732,87.82115,0.021847164
31/8/2023,0,7.593732,89.73979,-0.055331253
30/9/2023,0,10.75329,57.18491,-0.002428363
31/10/2023,0,10.75329,57.04605,-0.002142162
30/11/2023,0,10.75329,56.92385,0.06381733
29/12/2023,1,0.873498,824.6596,0.107870116
31/1/2024,1,0.873498,913.6157,0.05274052
29/2/2024,1,0.873498,961.8003,0.037750688
28/3/2024,1,5.289112,146.8886,-0.020689655
30/4/2024,1,5.289112,143.8495,-0.028478564
31/5/2024,0,5.289112,139.7529,-0.013860124
28/6/2024,1,33.39046,22.94377,-0.086187399
31/7/2024,0,33.39046,20.96631,0.047025546
30/8/2024,0,33.39046,21.95226,-0.041283242
30/9/2024,0,28.33419,23.78469,-0.098978514
31/10/2024,0,28.33419,21.43052,-0.006645817
29/11/2024,0,28.33419,21.28809,-0.021251476
31/12/2024,0,40.80626,14.77301,-0.006634499
31/1/2025,0,40.80626,14.675,-0.066484517
28/2/2025,0,40.80626,13.69934,0.019186992
